bar_attire,bar_bestnights,bar_category,bar_dancing,bar_happy,bar_name,bar_nhood,bar_outdoor,bar_parking,bar_phone,bar_reservations,bar_tv,bar_wheelchair,creditCard,num_reviews,num_stars,price_range
N/A,"Fri, Sat, Sun",Cocktail Bars,No,No,The Ship,SoHo,No,N/A,(212) 219-8496,Yes,No,Yes,Yes,246,4,$$
N/A,N/A,Cocktail Bars,No,No,The Polynesian,"Midtown West, Hell's Kitchen",Yes,N/A,(212) 254-3000,No,No,Yes,Yes,158,3.5,$$
N/A,"Thu, Fri, Sat",Whiskey Bars,No,Yes,Whiskey Tavern,Chinatown,No,Street,(212) 374-9119,Yes,Yes,N/A,Yes,725,4.5,$$
N/A,N/A,Cocktail Bars,N/A,Yes,Bar Alaska,Lower East Side,N/A,N/A,(646) 649-5545,Yes,N/A,N/A,Yes,15,5,$$
Casual,N/A,Pubs,No,N/A,Caledonia Bar,"Yorkville, Upper East Side",No,Street,(212) 734-4300,No,Yes,N/A,Yes,226,4.5,$$
Dressy,N/A,Cafes,N/A,No,Bar Pleiades,Upper East Side,No,Street,(212) 772-2600,Yes,No,N/A,Yes,78,4.5,$$$
N/A,N/A,Cocktail Bars,No,N/A,Old Man Hustle,Lower East Side,No,Street,(212) 253-7747,No,Yes,N/A,Yes,146,4.5,$
N/A,N/A,Cocktail Bars,No,No,Trouble’s Trust,Midtown East,No,N/A,(212) 888-7000,No,No,N/A,Yes,26,4,$$$
N/A,"Thu, Fri, Sat",Bars,Yes,Yes,Harlem Nights Bar,Harlem,Yes,Street,(646) 820-4603,No,Yes,Yes,Yes,134,4,$$
Casual,N/A,Cafes,No,Yes,Avocado Appétit,Lower East Side,No,Street,(917) 388-3675,No,No,No,Yes,148,4.5,$$
N/A,Fri,Irish Pub,No,Yes,Walter’s Cottage,"Hell's Kitchen, Midtown West",No,N/A,(917) 675-6882,No,Yes,N/A,Yes,54,4.5,$$
Casual,"Tue, Thu, Fri",Bars,No,Yes,Treadwell Park,Upper East Side,Yes,"Garage, Street",(212) 832-1551,No,Yes,No,Yes,315,4,$$
N/A,"Thu, Fri, Sat",Bars,N/A,N/A,Local 138,Lower East Side,No,Street,(212) 477-0280,Yes,Yes,N/A,Yes,239,4,$
N/A,"Wed, Thu, Sat",Pubs,N/A,Yes,The Four-Faced Liar,West Village,No,Street,(212) 206-8959,No,Yes,N/A,Yes,207,4,$
N/A,"Wed, Thu, Fri",Cocktail Bars,No,No,Winnie’s Jazz Bar,Midtown West,No,N/A,(212) 729-0277,Yes,No,Yes,Yes,45,4.5,$$$
Casual,Fri,American (New),Yes,Yes,The Flower Shop,Lower East Side,No,Street,(212) 257-4072,Yes,Yes,N/A,Yes,80,4,$$
Casual,"Thu, Fri, Sat",Dive Bars,Yes,N/A,Iron Horse NYC,Financial District,No,Street,(646) 546-5426,No,Yes,N/A,Yes,347,3.5,$
Casual,"Fri, Sat, Sun",Cuban,No,No,BlackTail,Battery Park,No,Street,(212) 785-0153,Yes,No,Yes,Yes,211,4.5,$$$
Casual,N/A,Cocktail Bars,No,Yes,Gleason’s Tavern,"Midtown West, Theater District",No,N/A,(212) 302-2167,Yes,Yes,Yes,Yes,95,4,$$
Casual,"Wed, Thu, Fri",Breakfast & Brunch,No,No,District M,"Midtown West, Theater District",No,Street,(212) 869-3600,No,Yes,Yes,Yes,58,4,$$
N/A,"Fri, Sat",Cocktail Bars,No,N/A,Bar Fortuna,Greenwich Village,No,N/A,(212) 353-8400,No,No,N/A,Yes,30,4.5,$$$
N/A,N/A,Bars,No,Yes,Scratcher,East Village,No,Street,(212) 477-0030,No,No,N/A,Yes,136,4,$
N/A,N/A,Cocktail Bars,No,No,The Rickey,Midtown West,No,N/A,(646) 756-2054,Yes,Yes,Yes,Yes,43,4,$$
N/A,"Wed, Thu, Fri",Pubs,No,N/A,124 Old Rabbit Club,Greenwich Village,No,Street,(646) 781-9646,No,No,N/A,Yes,292,4,$$
N/A,N/A,American (New),No,No,Employees Only,West Village,No,Street,(212) 242-3021,Yes,No,N/A,Yes,1346,4,$$$
Casual,"Fri, Sat",American (New),No,No,The Spaniard,West Village,No,Street,(212) 918-1986,Yes,Yes,No,Yes,164,4,$$
N/A,N/A,Bars,N/A,N/A,Harbor Bar,"Theater District, Midtown West",No,N/A,(917) 728-5712,N/A,N/A,N/A,Yes,6,4,$$$
N/A,N/A,Lounges,No,Yes,Mondrian Terrace,Midtown East,Yes,Valet,(212) 804-8880,Yes,N/A,Yes,Yes,11,4.5,$$
N/A,N/A,Cocktail Bars,No,No,Ophelia,Midtown East,Yes,N/A,(212) 980-4796,Yes,No,N/A,Yes,43,3.5,$$$
N/A,"Thu, Fri, Sat",Pubs,No,N/A,Valhalla,"Hell's Kitchen, Theater District, Midtown West",No,Street,(212) 757-2747,No,Yes,N/A,Yes,468,4,$$
Casual,"Thu, Fri, Sat",Wine Bars,No,N/A,The Cellar,Flatiron,No,Street,(212) 466-3340,No,No,N/A,Yes,609,4,$$
N/A,"Tue, Thu, Sat",Lounges,N/A,No,Two E Bar/Lounge,Upper East Side,No,Street,(212) 940-8113,Yes,No,N/A,Yes,128,4,$$$
Casual,"Thu, Fri, Sat",Cocktail Bars,No,Yes,The Distillery,"Hell's Kitchen, Theater District, Midtown West",No,Street,(212) 767-0077,Yes,Yes,Yes,Yes,84,4,$$
N/A,N/A,Lounges,N/A,N/A,The Auction House,"Yorkville, Upper East Side",No,Street,(212) 427-4458,No,Yes,N/A,Yes,390,4,$$
Casual,"Thu, Fri, Sat",American (New),N/A,Yes,The Stag’s Head,Midtown East,Yes,"Garage, Street",(212) 888-2453,Yes,Yes,Yes,Yes,395,4,$$
Casual,N/A,Bars,No,Yes,Clinton Hall,Midtown East,No,Street,(212) 695-0036,No,Yes,Yes,Yes,59,4,$$
N/A,N/A,Lounges,N/A,N/A,Playboy Club NYC,"Hell's Kitchen, Midtown West",N/A,N/A,(212) 644-8227,N/A,N/A,N/A,N/A,6,3,$$$
N/A,N/A,Cocktail Bars,N/A,N/A,The Terrace,Battery Park,N/A,N/A,(212) 432-1451,Yes,N/A,N/A,Yes,4,4.5,$$
N/A,"Wed, Thu, Sat",Cocktail Bars,No,No,The 75 Club,TriBeCa,No,N/A,(212) 406-7575,Yes,No,Yes,Yes,25,4.5,$$
N/A,N/A,Beer Bar,N/A,N/A,Craft + Carry,Gramercy,N/A,N/A,(646) 669-8347,No,N/A,N/A,Yes,4,5,$$
N/A,N/A,Bars,No,No,Mr Fong’s,Two Bridges,No,Street,(646) 964-4540,No,No,N/A,Yes,63,3.5,$$
Casual,"Thu, Fri, Sat",Bars,No,Yes,Clinton Hall,Financial District,Yes,Street,(212) 363-6000,No,Yes,Yes,Yes,503,4,$$
Casual,N/A,American (New),No,No,JoJo,Upper East Side,No,N/A,(212) 223-5656,Yes,No,N/A,Yes,48,4.5,$$$
Casual,N/A,Bars,No,Yes,Caledonia UWS,Upper West Side,No,N/A,(917) 388-2342,No,No,N/A,Yes,49,4.5,$$
Casual,N/A,Bars,No,N/A,Hibernia,"Hell's Kitchen, Theater District, Midtown West",Yes,Street,(212) 969-9703,No,Yes,N/A,Yes,154,4.5,$$
Casual,"Fri, Sat, Sun",Bars,No,No,Grand Banks,Lower East Side,Yes,Street,(212) 660-6312,Yes,No,No,Yes,358,4,$$$
N/A,"Thu, Fri, Sat",Cocktail Bars,No,No,Middle Branch,"Murray Hill, Kips Bay, Midtown East",No,Street,(212) 213-1350,N/A,No,N/A,Yes,342,4,$$
N/A,"Tue, Thu, Fri",Lounges,N/A,No,Little Branch,West Village,No,Street,(212) 929-4360,No,No,No,No,998,4,$$$
N/A,N/A,Pubs,N/A,Yes,Gramercy Park Bar,Gramercy,No,Street,(646) 484-6948,Yes,Yes,N/A,Yes,48,4,$$
N/A,"Thu, Fri, Sat",Bars,No,No,Bemelmans Bar,Upper East Side,No,Street,(212) 744-1600,Yes,No,N/A,Yes,260,4,$$$$
N/A,N/A,Lounges,No,Yes,On The Rocks,"Hell's Kitchen, Midtown West",No,Street,(212) 247-2055,No,No,N/A,Yes,220,4,$$
Dressy,N/A,American (Traditional),N/A,Yes,Monkey Bar,Midtown East,No,N/A,(212) 288-1010,Yes,No,N/A,Yes,246,3.5,$$$
N/A,N/A,Lounges,N/A,N/A,The Otheroom,West Village,Yes,Street,(212) 645-9758,No,No,N/A,Yes,262,4,$$
N/A,N/A,Lounges,N/A,Yes,III Pillars Bar,"Theater District, Midtown West",No,N/A,(212) 278-0010,No,No,Yes,Yes,5,5,$$$
Casual,N/A,American (Traditional),No,N/A,Hudson Bar Room,"Midtown West, Hell's Kitchen",No,N/A,(855) 811-0007,No,No,N/A,Yes,10,4,$$
N/A,"Wed, Thu, Fri",Lounges,No,No,Please Don’t Tell,"East Village, Alphabet City",No,Street,(212) 614-0386,Yes,No,N/A,Yes,1591,4,$$$
N/A,"Wed, Fri, Sat",Cocktail Bars,No,Yes,Porchlight,Chelsea,No,"Garage, Street",(212) 981-6188,No,No,Yes,Yes,162,3.5,$$
Casual,"Thu, Fri, Sat",Bars,Yes,Yes,Prohibition,Upper West Side,Yes,Street,(212) 579-3100,Yes,Yes,Yes,Yes,346,3.5,$$
N/A,"Thu, Fri, Sat",Bars,N/A,Yes,The Wayland,"Alphabet City, East Village",No,Street,(212) 777-7022,No,No,N/A,Yes,465,4.5,$$
N/A,N/A,Cocktail Bars,No,No,Bar at Clement,Midtown West,No,N/A,(212) 903-3918,No,No,N/A,Yes,13,4,$$$
N/A,N/A,Dive Bars,N/A,Yes,Holland Bar,"Midtown West, Hell's Kitchen",No,Street,(212) 502-4609,No,Yes,N/A,No,91,4,$
N/A,N/A,Lounges,N/A,Yes,Ward III,TriBeCa,No,N/A,(212) 240-9194,Yes,No,Yes,Yes,420,4,$$
N/A,"Wed, Fri, Sat",Bars,Yes,N/A,Juke Bar,East Village,Yes,Street,(212) 228-7464,N/A,Yes,N/A,Yes,224,4.5,$$
Casual,"Thu, Fri, Sat",Cocktail Bars,No,Yes,Réunion,"Midtown West, Hell's Kitchen, Theater District",No,Street,(212) 582-3200,No,Yes,N/A,Yes,634,4,$$
N/A,N/A,Bars,No,Yes,Elsie Rooftop,Midtown West,Yes,N/A,(212) 764-1090,Yes,No,No,Yes,22,4,$$$
N/A,"Thu, Fri, Sat",Lounges,Yes,Yes,Rooftop 93,"Chinatown, Lower East Side",Yes,Street,(212) 966-9033,Yes,No,Yes,Yes,177,4,$$
N/A,N/A,Cocktail Bars,N/A,N/A,Lantern’s Keep,Midtown West,No,"Garage, Street",(212) 453-4287,No,No,N/A,Yes,184,4,$$$
N/A,"Wed, Thu, Sun",Cocktail Bars,No,Yes,Mess Hall,Harlem,Yes,N/A,(646) 692-3098,No,Yes,N/A,Yes,124,4,$$
N/A,"Mon, Fri, Sat",Wine Bars,No,No,Pocket Bar NYC,"Hell's Kitchen, Midtown West",No,Street,(646) 682-9062,No,No,No,Yes,255,4.5,$$
N/A,"Thu, Fri, Sat",Beer Bar,No,N/A,Beer Culture,"Midtown West, Theater District, Hell's Kitchen",No,Street,(646) 590-2139,No,Yes,N/A,Yes,317,4,$$
Casual,"Thu, Fri, Sat",Cocktail Bars,No,Yes,Juniper,Midtown West,No,N/A,(212) 967-2511,Yes,Yes,Yes,Yes,426,4,$$
Casual,"Wed, Thu, Fri",Lounges,No,No,The Bar Downstairs,Midtown East,No,"Valet, Street",(212) 601-1234,Yes,No,N/A,Yes,328,4,$$$
N/A,N/A,Pubs,Yes,Yes,The Blasket,Midtown East,No,N/A,(212) 888-7405,No,No,N/A,Yes,36,5,$$
Casual,"Wed, Sat, Sun",American (New),No,Yes,The Milling Room,Upper West Side,No,Street,(212) 595-0380,Yes,Yes,Yes,Yes,355,4,$$$
Casual,N/A,Speakeasies,No,Yes,Sugar East,Upper East Side,No,"Garage, Street",(212) 832-4610,Yes,No,No,Yes,50,3.5,$$
N/A,"Tue, Wed, Thu",Lounges,No,N/A,Apothèke,"Chinatown, Civic Center",No,Street,(212) 406-0400,N/A,No,N/A,Yes,1333,4,$$$
N/A,"Thu, Fri, Sat",Cocktail Bars,No,Yes,The Belfry,East Village,No,Street,(212) 473-6590,Yes,No,Yes,Yes,458,4,$$
N/A,"Wed, Fri, Sat",Cocktail Bars,No,No,The Roof,Midtown West,Yes,Garage,(212) 707-8008,Yes,No,Yes,Yes,175,3,$$$
N/A,"Wed, Thu, Fri",Cocktail Bars,No,N/A,The Skylark,Midtown West,Yes,Street,(212) 257-4577,Yes,Yes,Yes,Yes,406,4,$$$
N/A,"Thu, Fri, Sat",Lounges,No,Yes,Keybar,"East Village, Alphabet City",No,Street,(212) 478-3021,Yes,No,N/A,Yes,513,4,$
Casual,"Fri, Sat, Sun",Gastropubs,No,N/A,The Penrose,"Yorkville, Upper East Side",Yes,Street,(212) 203-2751,Yes,No,No,Yes,980,4,$$
N/A,N/A,Sports Bars,N/A,Yes,Bar263nyc,Kips Bay,N/A,Street,(212) 779-0300,No,Yes,No,Yes,19,4.5,$
N/A,N/A,Italian,N/A,N/A,Scopa,Chelsea,N/A,N/A,(646) 858-3300,Yes,Yes,N/A,N/A,12,4.5,$$
Casual,"Thu, Fri, Sat",Sports Bars,No,Yes,District Tap House,Midtown West,No,Street,(212) 221-1822,Yes,Yes,Yes,Yes,727,4,$$
Casual,N/A,American (Traditional),No,Yes,BH Kitchen & Bar,Midtown East,No,N/A,(212) 755-2166,Yes,Yes,Yes,Yes,56,4.5,$$
Casual,N/A,Bars,N/A,Yes,Forgtmenot,"Chinatown, Lower East Side",Yes,Street,(646) 707-3195,No,Yes,N/A,Yes,166,4,$$
N/A,"Wed, Thu, Fri",Irish Pub,No,N/A,Peter Dillon’s,"Murray Hill, Midtown East",No,"Garage, Street",(212) 213-3998,No,Yes,N/A,Yes,184,4,$
N/A,"Mon, Wed, Sat",Dive Bars,No,N/A,Broadway Dive Bar,Manhattan Valley,No,Street,(212) 865-2662,No,Yes,N/A,Yes,126,4,$
Casual,Sat,Cocktail Bars,No,No,Oscar Wilde,Flatiron,No,Street,(212) 213-3066,Yes,No,N/A,Yes,366,4,$$
Casual,"Thu, Fri, Sat",Indian,No,N/A,The Drunken Munkey,"Yorkville, Upper East Side",No,Street,(646) 998-4600,Yes,Yes,N/A,Yes,785,4.5,$$
N/A,"Fri, Sat",Sports Bars,No,Yes,Bodega 88,Upper West Side,No,Street,(212) 799-1602,No,Yes,Yes,Yes,105,4.5,$$
N/A,"Thu, Fri, Sat",Pubs,No,Yes,The Waylon,"Hell's Kitchen, Midtown West",Yes,Street,(212) 265-0010,N/A,Yes,Yes,Yes,84,4.5,$$
N/A,"Thu, Fri, Sat",Lounges,No,N/A,The Press Lounge,"Hell's Kitchen, Midtown West",Yes,"Garage, Street",(212) 757-2224,No,No,N/A,Yes,854,4,$$$
N/A,N/A,Cocktail Bars,No,Yes,Jack and Fanny’s,"Yorkville, Upper East Side",No,Street,(917) 259-0028,Yes,Yes,Yes,Yes,31,4,$$
Casual,N/A,Breakfast & Brunch,No,Yes,The Horny Ram,Midtown East,Yes,Street,(917) 261-4136,Yes,Yes,Yes,Yes,259,4,$$
Dressy,"Thu, Fri, Sat",Cocktail Bars,No,No,Bar SixtyFive,Midtown West,Yes,Garage,(212) 632-5000,Yes,No,Yes,Yes,280,4,$$$
N/A,"Thu, Fri, Sat",Bars,No,Yes,Botanica Bar,Nolita,No,Street,(212) 343-7251,No,No,N/A,Yes,340,4,$
Casual,"Mon, Fri, Sat",Korean,No,Yes,The Maze,"Koreatown, Midtown West",No,"Garage, Street",(646) 918-7519,Yes,Yes,Yes,Yes,286,4,$$
N/A,N/A,Bars,N/A,Yes,Radio Amsterdam,Upper West Side,No,N/A,(212) 875-0008,No,N/A,N/A,Yes,15,4.5,$$
N/A,"Mon, Fri, Sat",Bars,N/A,Yes,The Pony Bar,"Upper East Side, Yorkville",No,Street,(212) 288-0090,No,Yes,N/A,Yes,326,4,$$
Casual,"Fri, Sat, Sun",Beer Bar,No,Yes,As Is NYC,"Hell's Kitchen, Midtown West",No,Street,(646) 858-1153,No,No,Yes,Yes,166,4,$$
N/A,"Thu, Fri, Sat",Dive Bars,No,Yes,The Library,"East Village, Alphabet City",No,Street,(212) 375-1352,No,Yes,Yes,Yes,391,4,$
N/A,"Thu, Fri, Sat",Cocktail Bars,No,No,The NoMad Bar,Flatiron,No,Street,(212) 796-1500,No,No,No,Yes,391,4.5,$$$
N/A,"Tue, Wed, Thu",Wine Bars,No,No,Vanguard Wine Bar,Upper West Side,No,Street,(212) 799-9463,No,Yes,N/A,Yes,145,4,$$
Casual,"Thu, Fri, Sat",Italian,No,Yes,Bar B,Chelsea,No,"Garage, Street",(212) 229-1888,No,No,N/A,Yes,149,4.5,$$
Casual,"Thu, Fri, Sat",American (New),No,N/A,Bea,"Midtown West, Hell's Kitchen, Theater District",No,Street,(212) 602-1910,Yes,No,N/A,Yes,1964,4,$$
Casual,"Mon, Thu",Bars,No,Yes,Bedford Falls,Upper East Side,Yes,Street,(212) 717-8181,No,Yes,N/A,Yes,68,4,$$
N/A,"Fri, Sat",Lounges,No,No,The Living Room,Midtown West,No,N/A,(646) 774-1234,Yes,No,N/A,Yes,24,4,$$$
N/A,N/A,Beer Bar,N/A,Yes,American Hall,Midtown West,No,N/A,(646) 259-3999,Yes,Yes,Yes,Yes,3,4.5,$$
N/A,"Tue, Wed, Thu",Cocktail Bars,No,No,Angel’s Share,East Village,No,Street,(212) 777-5415,No,No,No,Yes,1943,4.5,$$
N/A,"Thu, Fri, Sat",Sports Bars,No,Yes,Jimmy’s Corner,"Theater District, Midtown West",No,Street,(212) 221-9510,No,Yes,N/A,Yes,534,4,$
N/A,"Thu, Fri, Sat",Bars,No,N/A,Draught 55,Midtown East,No,"Garage, Street",(212) 300-4096,Yes,Yes,N/A,Yes,323,4,$$
N/A,N/A,Beer Bar,No,No,City Beer,"Murray Hill, Midtown East",No,N/A,(212) 534-2337,No,No,N/A,Yes,14,5,$$
Casual,"Mon, Tue, Fri",British,No,N/A,Cock & Bull,Midtown West,No,Street,(212) 819-1900,Yes,Yes,N/A,Yes,447,4,$$
Casual,"Thu, Fri, Sat",Cocktail Bars,No,Yes,Crimson & Rye,Midtown East,Yes,Street,(212) 687-6692,Yes,No,N/A,Yes,115,3.5,$$
N/A,"Thu, Fri, Sat",Cocktail Bars,No,No,The Up & Up,Greenwich Village,No,Street,(212) 260-3000,N/A,No,No,Yes,347,4,$$
Casual,"Wed, Sat",Seafood,No,Yes,The Juicy Seafood,Midtown East,No,Street,(646) 850-4080,Yes,Yes,Yes,Yes,25,4.5,$$$
N/A,N/A,British,N/A,N/A,Bluebird London NYC,"Hell's Kitchen, Midtown West",No,N/A,(347) 682-2100,Yes,No,Yes,Yes,39,4,$$$
N/A,N/A,Speakeasies,N/A,N/A,Storage Bar,"Yorkville, Upper East Side",N/A,N/A,(646) 559-5889,N/A,N/A,N/A,N/A,5,3,$$
N/A,N/A,Karaoke,N/A,Yes,Anytime Karaoke,"Koreatown, Midtown West",No,Street,(646) 590-4703,Yes,Yes,No,Yes,16,4.5,$$
N/A,N/A,Cocktail Bars,N/A,No,Haswell Green’s,"Theater District, Midtown West",No,N/A,(212) 245-2801,Yes,Yes,Yes,Yes,62,5,$$
N/A,N/A,Bars,N/A,N/A,Sky 55 Bar & Grill,Financial District,N/A,N/A,(646) 590-6556,Yes,N/A,N/A,N/A,8,5,$$
Casual,"Thu, Fri, Sat",Cocktail Bars,No,No,Dutch Freds,"Theater District, Midtown West, Hell's Kitchen",No,Street,(646) 918-6923,Yes,No,Yes,Yes,949,4.5,$$
Casual,N/A,American (New),N/A,Yes,Henry’s Rooftop Bar,Midtown East,Yes,N/A,(212) 755-1400,No,No,Yes,Yes,43,4,$$
N/A,"Tue, Fri, Sat",Speakeasies,No,No,Bathtub Gin,Chelsea,No,Street,(646) 559-1671,Yes,No,N/A,Yes,846,3.5,$$$
N/A,N/A,Gastropubs,No,Yes,East Village Tavern,"Alphabet City, East Village",No,Street,(646) 590-7929,Yes,Yes,No,Yes,17,5,$$
Casual,"Tue, Fri, Sat",Bars,No,Yes,e’s BAR,Upper West Side,Yes,Street,(212) 877-0961,No,Yes,Yes,Yes,281,4,$$
N/A,"Tue, Wed, Thu",Cocktail Bars,No,No,Tavern On 51,Midtown East,No,"Garage, Street",(212) 888-7000,No,Yes,Yes,Yes,13,4,$$$
N/A,"Thu, Fri, Sat",Dive Bars,N/A,N/A,Barcelona Bar,"Midtown West, Hell's Kitchen",No,Street,(212) 245-3212,No,Yes,N/A,Yes,393,4,$
Casual,"Fri, Sat, Sun",Cocktail Bars,No,Yes,Ampersand,Gramercy,No,Street,(212) 477-8100,No,No,Yes,Yes,168,4.5,$$
N/A,"Thu, Fri, Sat",Lounges,No,N/A,The Rum House,"Theater District, Midtown West",No,Street,(646) 490-6924,No,No,N/A,Yes,488,4,$$
N/A,"Thu, Fri, Sat",Bars,N/A,N/A,One Star,Chelsea,No,Street,(212) 777-0100,No,Yes,N/A,Yes,127,4.5,$
Casual,N/A,American (New),No,Yes,The Bar Room,Upper East Side,No,Street,(212) 561-5523,Yes,Yes,N/A,Yes,438,4,$$
N/A,Sat,Bars,N/A,N/A,Our/New York,Chelsea,N/A,N/A,(646) 753-5556,Yes,N/A,N/A,Yes,16,5,$$
N/A,Fri,Bars,N/A,N/A,Treadwell Park West,"Hell's Kitchen, Midtown West",N/A,N/A,(212) 388-6751,No,N/A,N/A,N/A,10,4.5,$$
N/A,N/A,Bars,N/A,No,The Wilson,Chelsea,Yes,N/A,(212) 529-2671,Yes,Yes,Yes,Yes,11,5,$$
N/A,N/A,American (New),N/A,Yes,VERSA,Midtown West,Yes,N/A,(646) 850-2850,Yes,Yes,N/A,Yes,28,4,$$
N/A,"Thu, Fri, Sat",Sports Bars,No,N/A,The Three Monkeys,"Theater District, Midtown West",Yes,Street,(212) 586-2080,Yes,Yes,N/A,Yes,945,4,$$
N/A,"Thu, Fri, Sat",Wine Bars,N/A,N/A,The Tippler,"Meatpacking District, Chelsea",No,Street,(212) 206-0000,No,No,N/A,Yes,590,4,$$
N/A,"Thu, Fri, Sat",Bars,No,Yes,The Ginger Man,Midtown East,No,Street,(212) 532-3740,No,No,N/A,Yes,1272,4,$$
N/A,N/A,Speakeasies,No,No,Patent Pending,Flatiron,No,Street,(212) 689-4002,No,No,Yes,Yes,98,4,$$$
N/A,"Mon, Thu",Bars,No,Yes,Sutton Bar Room,Midtown East,No,Street,(212) 980-9850,Yes,Yes,Yes,Yes,37,4.5,$$
N/A,"Wed, Fri, Sat",Cocktail Bars,No,Yes,The Hamilton,Manhattan Valley,No,Street,(646) 912-9421,No,No,Yes,Yes,106,4.5,$$
N/A,N/A,Cocktail Bars,N/A,N/A,The Owl’s Tail,Upper West Side,N/A,N/A,(646) 609-3906,N/A,N/A,N/A,Yes,16,5,$$$
Casual,"Tue, Fri, Sat",Bars,No,Yes,District Social,Midtown West,No,Street,(212) 994-9599,Yes,Yes,Yes,Yes,446,4,$$
N/A,N/A,Cocktail Bars,N/A,N/A,The 18th Room,Chelsea,No,N/A,(646) 559-1671,Yes,N/A,N/A,Yes,18,4.5,$$$
N/A,"Thu, Fri, Sat",Cocktail Bars,No,No,The Dead Rabbit,Financial District,No,Street,(646) 422-7906,No,No,No,Yes,1259,4,$$
N/A,"Thu, Fri, Sat",Bars,No,Yes,The Dead Poet,Upper West Side,Yes,Street,(212) 595-5670,No,Yes,N/A,Yes,387,4,$$
Casual,"Fri, Sat, Sun",Cocktail Bars,No,No,Tanner Smiths,Midtown West,No,Street,(646) 590-2034,Yes,Yes,Yes,Yes,1251,4,$$
Casual,N/A,Beer Gardens,N/A,Yes,Clinton Hall,Midtown West,No,N/A,(212) 695-0036,No,Yes,Yes,Yes,13,5,$$
N/A,"Thu, Fri, Sat",Bars,No,N/A,Frying Pan,Midtown West,Yes,N/A,(212) 989-6363,Yes,No,Yes,Yes,1388,4,$$
